Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Time,st_Road_Class,st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,nd_Road_Class,nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards
2.01801E+12,528920,176090,1,3,2,1,04/01/2018,5,1,1,6,30,8,4,2,2,0,0,4,2,2,0,0
2.01801E+12,543360,186010,1,2,2,4,04/01/2018,5,1,1,3,50,5,4,2,2,0,0,4,1,2,0,0
2.01801E+12,532730,178980,1,3,2,2,05/01/2018,6,1,1,3,30,5,4,2,2,0,0,4,1,2,0,0
2.01801E+12,524710,173860,1,3,2,1,05/01/2018,6,1,1,6,20,6,4,2,2,0,0,1,1,2,0,0
2.01801E+12,532710,184750,1,3,2,1,05/01/2018,6,1,1,6,20,3,2,2,2,0,5,1,1,2,0,0
2.01801E+12,516700,181560,1,3,1,1,05/01/2018,6,1,1,3,30,0,0,2,2,0,0,1,1,1,0,0
2.01801E+12,520070,182100,1,3,2,1,05/01/2018,6,1,1,3,40,0,0,2,2,0,5,4,1,2,0,0
2.01801E+12,505530,178340,1,3,2,1,04/01/2018,5,1,1,3,70,5,4,2,2,0,0,1,1,1,0,0
2.01801E+12,527130,177570,1,3,2,1,05/01/2018,6,1,1,6,30,3,4,2,2,0,0,1,1,1,4,0
2.01801E+12,526680,187400,1,3,2,1,05/01/2018,6,1,1,6,30,3,4,2,2,0,4,1,1,1,0,0
2.01801E+12,547400,173000,1,3,2,1,04/01/2018,5,1,1,1,30,0,0,2,2,-1,-1,7,2,2,0,0
2.01801E+12,549520,177670,1,3,2,1,05/01/2018,6,1,1,6,30,0,0,2,2,0,0,1,1,1,0,0
2.01801E+12,519760,193380,1,3,3,1,05/01/2018,6,1,1,6,30,-1,-1,2,2,-1,-1,1,1,1,-1,-1
2.01801E+12,532340,194740,1,3,1,1,04/01/2018,5,1,1,6,30,0,0,2,2,0,0,4,2,1,0,0
2.01801E+12,528240,175690,1,3,2,1,04/01/2018,5,1,1,6,30,0,0,2,2,0,5,4,2,2,0,0
2.01801E+12,529460,177520,1,3,2,1,05/01/2018,6,1,1,6,30,0,0,2,2,0,0,1,1,1,0,0
2.01801E+12,531060,175520,1,3,2,1,04/01/2018,5,1,1,6,30,3,2,2,2,0,5,4,1,1,0,0
2.01801E+12,541610,174670,1,3,1,1,05/01/2018,6,1,1,1,30,1,4,2,2,0,0,1,1,2,5,2
2.01801E+12,528560,175770,1,3,1,1,05/01/2018,6,1,1,6,20,6,2,2,2,0,4,1,1,1,0,0
2.01801E+12,520720,185100,1,3,2,1,05/01/2018,6,1,1,3,50,0,0,2,2,-1,-1,1,1,1,0,0
2.01801E+12,544680,191380,1,3,2,1,04/01/2018,5,1,1,6,30,3,4,2,2,0,-1,6,1,2,-1,0
2.01801E+12,513540,175560,1,3,1,1,05/01/2018,6,1,1,6,30,0,0,2,2,0,4,1,1,1,0,0
2.01801E+12,528520,171450,1,3,2,1,05/01/2018,6,1,1,1,20,1,4,2,2,0,0,1,1,2,0,0
2.01801E+12,531430,183300,1,3,1,1,04/01/2018,5,1,1,6,20,3,2,2,2,0,0,4,1,1,0,0
2.01801E+12,513820,180310,1,2,3,2,05/01/2018,6,1,1,3,30,3,4,2,2,0,5,1,1,1,0,0
2.01801E+12,534270,176260,1,3,1,1,05/01/2018,6,1,1,6,20,0,0,2,2,0,0,4,1,1,0,0
2.01801E+12,516640,182890,1,2,2,1,05/01/2018,6,1,1,3,40,0,0,2,2,0,0,4,1,1,0,0
2.01801E+12,532130,179430,1,3,2,1,05/01/2018,6,1,1,6,20,0,0,2,2,0,1,1,1,1,0,0
2.01801E+12,538470,188700,1,3,2,1,05/01/2018,6,1,1,6,30,0,0,2,2,0,0,1,1,1,0,0
2.01801E+12,522840,186970,1,3,2,1,05/01/2018,6,1,1,3,30,3,-1,2,2,0,0,7,1,1,0,-1
2.01801E+12,519810,193360,1,3,1,1,05/01/2018,6,1,1,6,30,0,0,2,2,0,0,1,1,1,0,0
2.01801E+12,512310,179060,1,3,2,1,05/01/2018,6,1,1,6,30,6,4,2,2,0,1,1,1,1,0,0
2.01801E+12,532040,176230,1,3,2,1,04/01/2018,5,1,1,2,30,6,4,2,2,0,1,4,1,1,0,0
2.01801E+12,532600,178790,1,3,1,1,05/01/2018,6,1,1,6,30,3,4,2,2,0,0,4,1,1,0,0
2.01801E+12,536310,178380,1,3,2,1,05/01/2018,6,1,1,6,30,0,0,2,2,0,0,1,1,1,0,0
2.01801E+12,535940,180460,1,3,2,1,05/01/2018,6,1,1,6,20,0,0,2,2,0,0,5,1,1,0,0
2.01801E+12,520600,179080,1,3,1,1,05/01/2018,6,1,1,6,30,0,0,2,2,0,0,4,1,1,0,0
2.01801E+12,524240,174180,1,2,1,1,05/01/2018,6,1,1,6,30,-1,2,2,2,-1,-1,1,1,1,0,0
2.01801E+12,529750,181900,1,3,1,1,05/01/2018,6,1,1,3,30,6,2,2,2,0,0,1,4,1,0,0
2.01801E+12,525780,175900,1,3,1,1,04/01/2018,5,1,1,6,30,0,0,2,2,0,1,4,2,2,0,0
2.01801E+12,513420,175520,1,2,1,1,05/01/2018,6,1,1,6,30,3,1,2,2,2,5,4,1,1,0,0
2.01801E+12,547410,183540,1,3,3,1,05/01/2018,6,1,1,3,40,8,2,2,2,0,0,4,8,1,0,0
2.01801E+12,519290,183530,1,3,2,1,05/01/2018,6,1,1,3,50,5,4,2,2,0,0,4,1,1,0,0
2.01801E+12,522410,190580,1,3,2,1,05/01/2018,6,1,1,3,50,7,2,2,2,0,5,4,1,2,0,0
2.01801E+12,542680,171460,1,3,2,1,05/01/2018,6,1,1,6,30,2,4,2,2,0,8,4,1,2,0,0
2.01801E+12,537660,188230,1,3,1,1,05/01/2018,6,1,1,3,20,3,4,2,2,0,0,1,1,1,0,0
2.01801E+12,524020,179970,1,3,2,1,05/01/2018,6,1,1,6,30,0,0,2,2,0,0,4,1,1,0,0
2.01801E+12,517050,178750,1,3,2,1,05/01/2018,6,1,1,6,30,3,4,2,2,0,0,4,1,1,0,0
2.01801E+12,535860,171440,1,3,2,1,05/01/2018,6,1,1,6,20,3,4,2,2,0,0,4,1,1,0,0
2.01801E+12,532720,187910,1,3,1,1,05/01/2018,6,1,1,6,20,3,4,2,2,0,1,4,1,2,0,0
2.01801E+12,516240,183890,1,3,2,3,06/01/2018,7,1,1,6,20,0,0,2,2,0,0,4,1,1,0,0
2.01801E+12,538200,181740,1,2,3,1,05/01/2018,6,1,1,3,40,6,2,2,2,0,4,4,1,1,0,0
2.01801E+12,540530,184750,1,3,2,3,02/01/2018,3,1,1,2,20,0,0,2,2,0,0,4,5,2,0,0
2.01801E+12,523360,183600,1,1,2,2,06/01/2018,7,1,1,6,30,3,4,2,2,0,0,4,1,2,0,0
2.01801E+12,546320,186720,1,3,1,1,05/01/2018,6,1,1,6,30,3,4,2,2,0,0,6,1,1,0,0
2.01801E+12,520490,175430,1,2,2,1,03/01/2018,4,1,1,6,30,6,2,2,2,0,0,5,1,1,0,3
2.01801E+12,552320,191830,1,3,3,3,05/01/2018,6,1,1,6,40,0,0,2,2,0,0,1,4,2,0,7
2.01801E+12,527710,171200,1,2,1,1,05/01/2018,6,1,1,6,30,3,4,2,2,0,5,4,1,1,0,0
