constituency_name,region_name,country_name,constituency_type,electorate,valid_votes,invalid_votes,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other
The Cotswolds,South West,England,County,80449,59702,127,36201,10702,9748,1197,1747,0,0,0,0,0,0,0,107
The Wrekin,West Midlands,England,County,68604,49523,115,27451,17887,1345,1656,804,0,0,0,0,0,0,0,380
Thirsk and Malton,Yorkshire and The Humber,England,County,78670,55929,94,33572,14571,3859,1532,1100,0,0,0,0,0,0,0,1295
Thornbury and Yate,South West,England,County,67892,50690,101,28008,6112,15937,0,633,0,0,0,0,0,0,0,0
Thurrock,East,England,Borough,78154,50325,97,19880,19535,798,10112,0,0,0,0,0,0,0,0,0
Tiverton and Honiton,South West,England,County,80731,57815,172,35471,15670,4639,0,2035,0,0,0,0,0,0,0,0
Tonbridge and Malling,South East,England,County,77417,56907,108,36218,12710,3787,1857,2335,0,0,0,0,0,0,0,0
Tooting,London,England,Borough,77971,58171,133,19236,34694,3057,339,845,0,0,0,0,0,0,0,0
Torbay,South West,England,Borough,75931,51174,75,27141,9310,12858,1213,652,0,0,0,0,0,0,0,0
Torfaen,Wales,Wales,County,61839,38429,62,11894,22134,852,1490,0,0,2059,0,0,0,0,0,0
Torridge and West Devon,South West,England,County,80524,59480,144,33612,12926,10526,0,1622,0,0,0,0,0,0,0,794
Totnes,South West,England,County,68914,50270,82,26972,13495,6466,1240,2097,0,0,0,0,0,0,0,0
Tottenham,London,England,Borough,72884,49339,147,5665,40249,1687,462,1276,0,0,0,0,0,0,0,0
Truro and Falmouth,South West,England,County,74683,56647,70,25123,21331,8465,897,831,0,0,0,0,0,0,0,0
Tunbridge Wells,South East,England,County,74782,54209,99,30856,14391,5355,1464,1441,0,0,0,0,0,0,0,702
Twickenham,London,England,Borough,83362,66290,143,25207,6114,34969,0,0,0,0,0,0,0,0,0,0
Tynemouth,North East,England,Borough,77434,56858,106,20729,32395,1724,1257,629,0,0,0,0,0,0,0,124
Upper Bann,Northern Ireland,Northern Ireland,County,80168,51258,173,0,0,0,0,0,0,0,22317,14325,4397,7900,2319,0
Uxbridge and South Ruislip,London,England,Borough,69936,46694,84,23716,18682,1835,1577,884,0,0,0,0,0,0,0,0
Vale Of Clwyd,Wales,Wales,County,56890,38684,91,17044,19423,666,0,0,0,1551,0,0,0,0,0,0
Vale Of Glamorgan,Wales,Wales,County,73959,53718,63,25501,23311,1020,868,419,0,2295,0,0,0,0,0,304
Vauxhall,London,England,Borough,82055,55042,164,10277,31576,11326,0,1152,0,0,0,0,0,0,0,711
Wakefield,Yorkshire and The Humber,England,County,70340,46284,112,20811,22987,943,0,0,0,0,0,0,0,0,0,1543
Wallasey,North West,England,Borough,67454,48353,77,11232,34552,772,1160,637,0,0,0,0,0,0,0,0
Walsall North,West Midlands,England,Borough,67308,38118,78,18919,16318,586,2295,0,0,0,0,0,0,0,0,0
Walsall South,West Midlands,England,Borough,67417,44072,117,16394,25286,587,1805,0,0,0,0,0,0,0,0,0
Walthamstow,London,England,County,67957,48143,159,6776,38793,1384,0,1190,0,0,0,0,0,0,0,0
Wansbeck,North East,England,County,62151,42454,57,13903,24338,2015,1483,715,0,0,0,0,0,0,0,0
Wantage,South East,England,County,85786,63602,156,34459,17079,9234,1284,1546,0,0,0,0,0,0,0,0
Warley,West Midlands,England,Borough,63739,40206,116,10521,27004,777,1349,555,0,0,0,0,0,0,0,0
Warrington North,North West,England,Borough,71918,48517,99,17774,27356,1207,1561,619,0,0,0,0,0,0,0,0
Warrington South,North West,England,Borough,85617,61995,120,27445,29994,3339,0,0,0,0,0,0,0,0,0,1217
Warwick and Leamington,West Midlands,England,Borough,74237,54055,125,24021,25227,2810,799,1198,0,0,0,0,0,0,0,0
Washington and Sunderland West,North East,England,Borough,67280,40574,74,11699,24639,961,2761,514,0,0,0,0,0,0,0,0
Watford,East,England,Borough,86507,58610,113,26731,24639,5335,1184,721,0,0,0,0,0,0,0,0
Waveney,East,England,County,80763,52674,68,28643,19428,1012,1933,1332,0,0,0,0,0,0,0,326
Wealden,South East,England,County,81425,60464,113,37027,13399,6281,1798,1959,0,0,0,0,0,0,0,0
